,run_id,model,method,label,order_idx,clip_t_mean,lpips_mean,n_cases,method_pretty,method_group_order,is_pareto_front
0,sd3_flowedit_011_Ours_cfg13.5,sd3,flowedit,Ours_cfg13.5,0.0,0.3038498160243034,0.0644762828946113,10.0,OURS,3.0,False
1,sd3_flowedit_012_Ours_cfg16.5,sd3,flowedit,Ours_cfg16.5,1.0,0.3125401000976562,0.0991678744554519,10.0,OURS,3.0,False
2,sd3_flowedit_013_Ours_cfg19.5,sd3,flowedit,Ours_cfg19.5,2.0,0.3198541938066481,0.1335173219442366,10.0,OURS,3.0,False
7,sd3_sdedit_000_SDEdit_0.2,sd3,sdedit,SDEdit_0.2,0.0,0.2089678674936294,0.0422828405164182,10.0,SDEdit,2.0,True
8,sd3_sdedit_001_SDEdit_0.3,sd3,sdedit,SDEdit_0.3,1.0,0.2296514436602592,0.0876345995813608,10.0,SDEdit,2.0,True
9,sd3_sdedit_002_SDEdit_0.4,sd3,sdedit,SDEdit_0.4,2.0,0.2334211826324463,0.0948623033240437,10.0,SDEdit,2.0,True
10,sd3_sdedit_003_SDEdit_0.5,sd3,sdedit,SDEdit_0.5,3.0,0.2528863936662674,0.1297093693166971,10.0,SDEdit,2.0,True
11,sd3_sdedit_004_SDEdit_0.6,sd3,sdedit,SDEdit_0.6,4.0,0.2645429655909538,0.1759189873933792,10.0,SDEdit,2.0,True
12,sd3_sdedit_005_SDEdit_0.7,sd3,sdedit,SDEdit_0.7,5.0,0.286620569229126,0.2391406133770942,10.0,SDEdit,2.0,True
13,sd3_sdedit_006_SDEdit_0.8,sd3,sdedit,SDEdit_0.8,6.0,0.2930382013320923,0.3097674027085304,10.0,SDEdit,2.0,True
